Shares|Percent of Outstanding Shares|Registration|Email|Date of Birth  Organization|Address|Address Extra|City|State|Postal Code|Country|Onboarded Date|Issue Date of Security|Cancellation Date of Security|Dividends|Restricted Shares Notes
558659.2179|5.59E-05|Institution 136|real_email_for_shareholder_communication@gmx.com|661978|279 Georgia Tech Sta|506 Ferst Dr|Atlanta|GA|30488|USA|652000||||
555555.5556|5.56E-05|Institution 137|real_email_for_shareholder_communication@gmx.com|671978|280 Georgia Tech Sta|507 Ferst Dr|Atlanta|GA|30489|USA|662000||||
531934.9189|5.32E-05|Institution 138|real_email_for_shareholder_communication@gmx.com|681978|281 Georgia Tech Sta|508 Ferst Dr|Atlanta|GA|30490|USA|672000||||
525562.9067|5.26E-05|Institution 139|real_email_for_shareholder_communication@gmx.com|691978|282 Georgia Tech Sta|509 Ferst Dr|Atlanta|GA|30491|USA|682000||||
507614.2132|5.08E-05|Institution 140|real_email_for_shareholder_communication@gmx.com|6101978|283 Georgia Tech Sta|510 Ferst Dr|Atlanta|GA|30492|USA|692000||||
500000.0004|5.00E-05|Institution 141|real_email_for_shareholder_communication@gmx.com|6111978|284 Georgia Tech Sta|511 Ferst Dr|Atlanta|GA|30493|USA|6102000||||
500000|5.00E-05|Institution 142|real_email_for_shareholder_communication@gmx.com|6121978|285 Georgia Tech Sta|512 Ferst Dr|Atlanta|GA|30494|USA|6112000||||
500000|5.00E-05|Institution 143|real_email_for_shareholder_communication@gmx.com|6131978|286 Georgia Tech Sta|513 Ferst Dr|Atlanta|GA|30495|USA|6122000||||
499978.0038|5.00E-05|Institution 144|real_email_for_shareholder_communication@gmx.com|6141978|287 Georgia Tech Sta|514 Ferst Dr|Atlanta|GA|30496|USA|6132000||||
498452.0124|4.98E-05|Institution 145|real_email_for_shareholder_communication@gmx.com|6151978|288 Georgia Tech Sta|515 Ferst Dr|Atlanta|GA|30497|USA|6142000||||
477042.3375|4.77E-05|Institution 146|real_email_for_shareholder_communication@gmx.com|6161978|289 Georgia Tech Sta|516 Ferst Dr|Atlanta|GA|30498|USA|6152000||||
454545.4545|4.55E-05|Institution 147|real_email_for_shareholder_communication@gmx.com|6171978|290 Georgia Tech Sta|517 Ferst Dr|Atlanta|GA|30499|USA|6162000||||
450000|4.50E-05|Institution 148|real_email_for_shareholder_communication@gmx.com|6181978|291 Georgia Tech Sta|518 Ferst Dr|Atlanta|GA|30500|USA|6172000||||
444444.4222|4.44E-05|Institution 149|real_email_for_shareholder_communication@gmx.com|6191978|292 Georgia Tech Sta|519 Ferst Dr|Atlanta|GA|30501|USA|6182000||||
393431.8421|3.93E-05|Institution 150|real_email_for_shareholder_communication@gmx.com|6201978|293 Georgia Tech Sta|520 Ferst Dr|Atlanta|GA|30502|USA|6192000||||
379746.8354|3.80E-05|Institution 151|real_email_for_shareholder_communication@gmx.com|6211978|294 Georgia Tech Sta|521 Ferst Dr|Atlanta|GA|30503|USA|6202000||||
375000|3.75E-05|Institution 152|real_email_for_shareholder_communication@gmx.com|6221978|295 Georgia Tech Sta|522 Ferst Dr|Atlanta|GA|30504|USA|6212000||||
373125|3.73E-05|Institution 153|real_email_for_shareholder_communication@gmx.com|6231978|296 Georgia Tech Sta|523 Ferst Dr|Atlanta|GA|30505|USA|6222000||||
322901.8492|3.23E-05|Institution 154|real_email_for_shareholder_communication@gmx.com|6241978|297 Georgia Tech Sta|524 Ferst Dr|Atlanta|GA|30506|USA|6232000||||
321425.8571|3.21E-05|Institution 155|real_email_for_shareholder_communication@gmx.com|6251978|298 Georgia Tech Sta|525 Ferst Dr|Atlanta|GA|30507|USA|6242000||||
300000|3.00E-05|Institution 156|real_email_for_shareholder_communication@gmx.com|6261978|299 Georgia Tech Sta|526 Ferst Dr|Atlanta|GA|30508|USA|6252000||||
285714.2857|2.86E-05|Institution 157|real_email_for_shareholder_communication@gmx.com|6271978|300 Georgia Tech Sta|527 Ferst Dr|Atlanta|GA|30509|USA|6262000||||
277777.7778|2.78E-05|Institution 158|real_email_for_shareholder_communication@gmx.com|6281978|301 Georgia Tech Sta|528 Ferst Dr|Atlanta|GA|30510|USA|6272000||||
270270.2703|2.70E-05|Institution 159|real_email_for_shareholder_communication@gmx.com|6291978|302 Georgia Tech Sta|529 Ferst Dr|Atlanta|GA|30511|USA|6282000||||
265957.4468|2.66E-05|Institution 160|real_email_for_shareholder_communication@gmx.com|6301978|303 Georgia Tech Sta|530 Ferst Dr|Atlanta|GA|30512|USA|6292000||||
0.3947368|3.95E-11|Institution 161|real_email_for_shareholder_communication@gmx.com|711978|304 Georgia Tech Sta|531 Ferst Dr|Atlanta|GA|30513|USA|6302000||||
230000|2.30E-05|Institution 162|real_email_for_shareholder_communication@gmx.com|721978|305 Georgia Tech Sta|532 Ferst Dr|Atlanta|GA|30514|USA|712000||||
192307.6923|1.92E-05|Institution 163|real_email_for_shareholder_communication@gmx.com|731978|306 Georgia Tech Sta|533 Ferst Dr|Atlanta|GA|30515|USA|722000||||
183924.1839|1.84E-05|Institution 164|real_email_for_shareholder_communication@gmx.com|741978|307 Georgia Tech Sta|534 Ferst Dr|Atlanta|GA|30516|USA|732000||||
841080.3335|8.41E-05|Institution 165|real_email_for_shareholder_communication@gmx.com|751978|308 Georgia Tech Sta|535 Ferst Dr|Atlanta|GA|30517|USA|742000||||
169491.5254|1.69E-05|Institution 166|real_email_for_shareholder_communication@gmx.com|761978|309 Georgia Tech Sta|536 Ferst Dr|Atlanta|GA|30518|USA|752000||||
162105.2632|1.62E-05|Institution 167|real_email_for_shareholder_communication@gmx.com|771978|310 Georgia Tech Sta|537 Ferst Dr|Atlanta|GA|30519|USA|762000||||
150000|1.50E-05|Institution 168|real_email_for_shareholder_communication@gmx.com|781978|311 Georgia Tech Sta|538 Ferst Dr|Atlanta|GA|30520|USA|772000||||
131578.9474|1.32E-05|Institution 169|real_email_for_shareholder_communication@gmx.com|791978|312 Georgia Tech Sta|539 Ferst Dr|Atlanta|GA|30521|USA|782000||||
128205.1282|1.28E-05|Institution 170|real_email_for_shareholder_communication@gmx.com|7101978|313 Georgia Tech Sta|540 Ferst Dr|Atlanta|GA|30522|USA|792000||||
123456|1.23E-05|Institution 171|real_email_for_shareholder_communication@gmx.com|7111978|314 Georgia Tech Sta|541 Ferst Dr|Atlanta|GA|30523|USA|7102000||||
116279.0698|1.16E-05|Institution 172|real_email_for_shareholder_communication@gmx.com|7121978|315 Georgia Tech Sta|542 Ferst Dr|Atlanta|GA|30524|USA|7112000||||
112359.5506|1.12E-05|Institution 173|real_email_for_shareholder_communication@gmx.com|7131978|316 Georgia Tech Sta|543 Ferst Dr|Atlanta|GA|30525|USA|7122000||||
112359.5506|1.12E-05|Institution 174|real_email_for_shareholder_communication@gmx.com|7141978|317 Georgia Tech Sta|544 Ferst Dr|Atlanta|GA|30526|USA|7132000||||
111111.1111|1.11E-05|Institution 175|real_email_for_shareholder_communication@gmx.com|7151978|318 Georgia Tech Sta|545 Ferst Dr|Atlanta|GA|30527|USA|7142000||||
105299.95|1.05E-05|Institution 176|real_email_for_shareholder_communication@gmx.com|7161978|319 Georgia Tech Sta|546 Ferst Dr|Atlanta|GA|30528|USA|7152000||||
101010.101|1.01E-05|Institution 177|real_email_for_shareholder_communication@gmx.com|7171978|320 Georgia Tech Sta|547 Ferst Dr|Atlanta|GA|30529|USA|7162000||||
100000.6617|1.00E-05|Institution 178|real_email_for_shareholder_communication@gmx.com|7181978|321 Georgia Tech Sta|548 Ferst Dr|Atlanta|GA|30530|USA|7172000||||
100000.0019|1.00E-05|Institution 179|real_email_for_shareholder_communication@gmx.com|7191978|322 Georgia Tech Sta|549 Ferst Dr|Atlanta|GA|30531|USA|7182000||||
100000|1.00E-05|Institution 180|real_email_for_shareholder_communication@gmx.com|7201978|323 Georgia Tech Sta|550 Ferst Dr|Atlanta|GA|30532|USA|7192000||||
100000|1.00E-05|Institution 181|real_email_for_shareholder_communication@gmx.com|7211978|324 Georgia Tech Sta|551 Ferst Dr|Atlanta|GA|30533|USA|7202000||||
100000|1.00E-05|Institution 182|real_email_for_shareholder_communication@gmx.com|7221978|325 Georgia Tech Sta|552 Ferst Dr|Atlanta|GA|30534|USA|7212000||||
100000|1.00E-05|Institution 183|real_email_for_shareholder_communication@gmx.com|7231978|326 Georgia Tech Sta|553 Ferst Dr|Atlanta|GA|30535|USA|7222000||||
100000|1.00E-05|Institution 185|real_email_for_shareholder_communication@gmx.com|7251978|328 Georgia Tech Sta|555 Ferst Dr|Atlanta|GA|30537|USA|7242000||||
90000|9.00E-06|Institution 186|real_email_for_shareholder_communication@gmx.com|7261978|329 Georgia Tech Sta|556 Ferst Dr|Atlanta|GA|30538|USA|7252000||||
80000|8.00E-06|Institution 187|real_email_for_shareholder_communication@gmx.com|7271978|330 Georgia Tech Sta|557 Ferst Dr|Atlanta|GA|30539|USA|7262000||||
73333.33333|7.33E-06|Institution 188|real_email_for_shareholder_communication@gmx.com|7281978|331 Georgia Tech Sta|558 Ferst Dr|Atlanta|GA|30540|USA|7272000||||
64102.5641|6.41E-06|Institution 189|real_email_for_shareholder_communication@gmx.com|7291978|332 Georgia Tech Sta|559 Ferst Dr|Atlanta|GA|30541|USA|7282000||||
0.0268116|2.68E-12|Institution 190|real_email_for_shareholder_communication@gmx.com|7301978|333 Georgia Tech Sta|560 Ferst Dr|Atlanta|GA|30542|USA|7292000||||
50000|5.00E-06|Institution 192|real_email_for_shareholder_communication@gmx.com|811978|335 Georgia Tech Sta|562 Ferst Dr|Atlanta|GA|30544|USA|7312000||||
150000|1.50E-05|Institution 193|real_email_for_shareholder_communication@gmx.com|821978|336 Georgia Tech Sta|563 Ferst Dr|Atlanta|GA|30545|USA|812000||||
30000|3.00E-06|Institution 194|real_email_for_shareholder_communication@gmx.com|831978|337 Georgia Tech Sta|564 Ferst Dr|Atlanta|GA|30546|USA|822000||||
10000|1.00E-06|Institution 195|real_email_for_shareholder_communication@gmx.com|841978|338 Georgia Tech Sta|565 Ferst Dr|Atlanta|GA|30547|USA|832000||||
5500|5.50E-07|Institution 196|real_email_for_shareholder_communication@gmx.com|851978|339 Georgia Tech Sta|566 Ferst Dr|Atlanta|GA|30548|USA|842000||||
2500|2.50E-07|Institution 197|real_email_for_shareholder_communication@gmx.com|861978|340 Georgia Tech Sta|567 Ferst Dr|Atlanta|GA|30549|USA|852000||||
1000|1.00E-07|Institution 198|real_email_for_shareholder_communication@gmx.com|871978|341 Georgia Tech Sta|568 Ferst Dr|Atlanta|GA|30550|USA|862000||||
882.8857142|8.83E-08|Institution 199|real_email_for_shareholder_communication@gmx.com|881978|342 Georgia Tech Sta|569 Ferst Dr|Atlanta|GA|30551|USA|872000||||
300|3.00E-08|Institution 200|real_email_for_shareholder_communication@gmx.com|891978|343 Georgia Tech Sta|570 Ferst Dr|Atlanta|GA|30552|USA|882000||||
50|5.00E-09|Institution 201|real_email_for_shareholder_communication@gmx.com|8101978|344 Georgia Tech Sta|571 Ferst Dr|Atlanta|GA|30553|USA|892000||||
30.3030303|3.03E-09|Institution 202|real_email_for_shareholder_communication@gmx.com|8111978|345 Georgia Tech Sta|572 Ferst Dr|Atlanta|GA|30554|USA|8102000||||
25|2.50E-09|Institution 203|real_email_for_shareholder_communication@gmx.com|8121978|346 Georgia Tech Sta|573 Ferst Dr|Atlanta|GA|30555|USA|8112000||||
6.6779787|6.68E-10|Institution 204|real_email_for_shareholder_communication@gmx.com|8131978|347 Georgia Tech Sta|574 Ferst Dr|Atlanta|GA|30556|USA|8122000||||
0.9372306|9.37E-11|Institution 205|real_email_for_shareholder_communication@gmx.com|8141978|348 Georgia Tech Sta|575 Ferst Dr|Atlanta|GA|30557|USA|8132000||||
0.6118143|6.12E-11|Institution 206|real_email_for_shareholder_communication@gmx.com|8151978|349 Georgia Tech Sta|576 Ferst Dr|Atlanta|GA|30558|USA|8142000||||
0.2543124|2.54E-11|Institution 207|real_email_for_shareholder_communication@gmx.com|8161978|350 Georgia Tech Sta|577 Ferst Dr|Atlanta|GA|30559|USA|8152000||||
0.197692|1.98E-11|Institution 208|real_email_for_shareholder_communication@gmx.com|8171978|351 Georgia Tech Sta|578 Ferst Dr|Atlanta|GA|30560|USA|8162000||||
0.0416931|4.17E-12|Institution 209|real_email_for_shareholder_communication@gmx.com|8181978|352 Georgia Tech Sta|579 Ferst Dr|Atlanta|GA|30561|USA|8172000||||
0.026316|2.63E-12|Institution 210|real_email_for_shareholder_communication@gmx.com|8191978|353 Georgia Tech Sta|580 Ferst Dr|Atlanta|GA|30562|USA|8182000||||
0.0245378|2.45E-12|Institution 211|real_email_for_shareholder_communication@gmx.com|8201978|354 Georgia Tech Sta|581 Ferst Dr|Atlanta|GA|30563|USA|8192000||||
0.0212939|2.13E-12|Institution 212|real_email_for_shareholder_communication@gmx.com|8211978|355 Georgia Tech Sta|582 Ferst Dr|Atlanta|GA|30564|USA|8202000||||
0.0104288|1.04E-12|CEO|real_email_for_shareholder_communication@gmx.com|8221978|356 Georgia Tech Sta|583 Ferst Dr|Atlanta|GA|30565|USA|8212000||||
0.0085176|8.52E-13|CFO|real_email_for_shareholder_communication@gmx.com|8231978|357 Georgia Tech Sta|584 Ferst Dr|Atlanta|GA|30566|USA|8222000||||
0.0081461|8.15E-13|CIO|real_email_for_shareholder_communication@gmx.com|8241978|358 Georgia Tech Sta|585 Ferst Dr|Atlanta|GA|30567|USA|8232000||||
0.0076744|7.67E-13|CISO |real_email_for_shareholder_communication@gmx.com|8251978|359 Georgia Tech Sta|586 Ferst Dr|Atlanta|GA|30568|USA|8242000||||
0.0048231|4.82E-13|Big Manager 1|real_email_for_shareholder_communication@gmx.com|8261978|360 Georgia Tech Sta|587 Ferst Dr|Atlanta|GA|30569|USA|8252000||||
0.0032678|3.27E-13|Big Manager 2|real_email_for_shareholder_communication@gmx.com|8271978|361 Georgia Tech Sta|588 Ferst Dr|Atlanta|GA|30570|USA|8262000||||
0.0011765|1.18E-13|Big Manager 4|real_email_for_shareholder_communication@gmx.com|8291978|363 Georgia Tech Sta|590 Ferst Dr|Atlanta|GA|30572|USA|8282000||||
0.0008553|8.55E-14|Big Manager 5|real_email_for_shareholder_communication@gmx.com|8301978|364 Georgia Tech Sta|591 Ferst Dr|Atlanta|GA|30573|USA|8292000||||
2.16E-05|2.16E-15|Big Manager 7|real_email_for_shareholder_communication@gmx.com|911978|366 Georgia Tech Sta|593 Ferst Dr|Atlanta|GA|30575|USA|8312000||||
